order_id,order_date,customer_id,product_id,location_id,shipping_id,quantity,sales,discount,profit
O9892,09/05/2024,C1438,P2050,L117,SH19,1,16074.52,0.21,1044.72
O5245,2025-01-04,C1154,P2062,L103,SH19,4,19846.46,0.28,1631.24
O6287,2025-01-28,C1085,P2057,L117,SH19,3,34157.54,0.21,3249.14
O9699,2024-07-28,C1200,P2085,L115,SH4,6,22266.93,0.0,9248.93
O7353,2025-02-22,C1279,P2088,L111,SH10,6,2788.12,0.13,824.67
O5311,2024-04-28,C1126,P2012,L114,SH13,6,146805.74,,47237.17
O8698,2024-04-19,C1484,P2039,L114,SH22,4,₹83359.44,0.14,5034.71
O10852,2025-12-08,C1189,P2047,L105,SH25,1,11085.64,0.21,1220.23
O7077,2024-01-04,C1417,P2071,L113,SH13,4,2683.23,0.05,1106.56
O7242,2024-08-04,C1044,P2098,L106,SH13,2,1385.15,0.06,461.27
O11638,2024-04-11,C1495,P2007,L110,SH10,4,54273.28,0.04,16126.57
O10418,2024-04-04,C1135,P2089,L105,SH16,6,12733.41,0.0,4939.83
O6306,2024-01-22,C1137,P2081,L104,SH13,1,3901.03,0.07,1055.47
O8792,2025-05-03,C1166,P2013,L103,SH13,3,97964.01,0.12,37680.08
O6112,2025-12-08,C1215,P2055,L113,SH4,5,65597.58,0.05,5860.96
O11804,2025-10-22,C1420,P2070,L116,SH13,5,15188.03,0.11,5667.46
O9651,2024-01-15,C1069,P2014,L101,SH10,1,10794.31,0.07,4302.67
O11867,2024-06-03,C1416,P2022,L111,SH1,3,16342.19,0.17,
O11196,2024-10-08,C1367,P2009,L115,SH13,3,95539.98,0.0,20871.2
O6602,2025-07-28,C1500,P2011,L104,SH14,5,46442.79,0.12,17321.56
O5922,2024-11-04,C1005,P2051,L109,SH7,3,6803.65,0.24,911.99
O6002,2024-12-12,C1484,P2009,L103,SH4,4,67498.72,0.08,26755.75
O6170,2025-12-15,C1362,P2087,L101,SH19,4,11909.65,0.14,3329.66
O9473,2025-09-05,C1441,P2043,L108,SH22,4,₹37463.63,,4254.01
O8300,2024-07-07,C1021,P2025,L110,SH13,3,131872.32,0.02,48839.81
O8622,2024-08-14,C1244,P2001,L113,SH4,2,105267.96,0.03,38305.04
O6716,2025-03-03,C1241,P2050,L103,SH19,1,20377.31,0.15,2842.68
O7985,2025-11-01,C1474,P2034,L103,SH7,1,17258.39,0.19,2374.96
O6781,2025-02-12,C1026,P2058,L115,SH19,1,4037.06,0.28,522.35
O6687,2025-02-14,C1384,P2039,L114,SH13,6,7245.07,0.1,1054.39
O7732,11/02/2025,C1355,P2016,L107,SH1,4,119224.53,0.0,38808.69
O11554,2024-08-21,C1112,P2022,L109,SH22,6,154359.34,,32195.97
O5673,2025-10-23,C1265,P2019,L115,SH6,2,₹43631.94,0.15,15032.48
O6000,2025-03-15,C1404,P2030,L105,SH10,5,115725.28,0.02,32618.54
O8775,2025-06-04,C1269,P2061,L101,SH1,6,119361.95,0.12,10284.88
O8651,2024-07-06,C1033,P2019,L116,SH13,2,99459.62,0.09,26176.23
O6751,2025-10-31,C1490,P2067,L116,SH22,3,9414.17,0.0,3138.51
O6305,2024-12-05,C1418,P2021,L110,SH19,6,131810.97,0.19,32789.53
O11777,2024-08-19,C1266,P2039,L104,SH1,4,47053.78,0.16,3880.77
O11030,2025-04-26,C1481,P2032,L111,SH10,3,90835.81,0.08,24664.76
O5541,2025-03-25,C1030,P2023,L116,SH19,3,5845.88,0.06,2163.64
O10060,2025-07-15,C1192,P2094,L116,SH10,2,2083.85,0.12,545.78
O8011,2025-07-24,C1334,P2060,L110,SH6,3,3071.09,0.26,452.56
O6155,14/09/2025,C1411,P2088,L108,SH4,4,16774.9,0.05,5943.25
O6445,2024-08-21,C1291,P2088,L110,SH7,1,2281.15,0.19,646.62
O5172,2024-01-06,C1242,P2013,L105,SH9,4,169925.61,,67219.54
O9961,2025-05-02,C1364,P2073,L117,SH7,-2,₹8526.92,0.06,2832.23
O6074,2025-04-09,C1052,P2044,L101,SH4,1,11319.07,0.15,1277.96
O10674,2025-07-10,C1076,P2001,L104,SH19,2,2629.62,0.17,755.41
O11615,2025-11-25,C1106,P2080,L107,SH11,1,699.21,0.09,192.69
O7971,2025-05-17,C1280,P2001,L105,SH7,4,215747.65,0.0,43506.49
O11744,2025-03-15,C1447,P2059,L114,SH8,1,19256.3,0.21,2737.42
O10098,2025-09-19,C1018,P2096,L111,SH22,4,2441.29,0.14,753.94
O11004,2024-08-01,C1454,P2080,L107,SH13,2,2246.28,0.41,564.78
O9502,2024-07-05,C1493,P2078,L114,SH1,6,16842.13,0.22,5331.78
O6221,2024-11-01,C1197,P2062,L114,SH1,6,63194.86,0.28,4357.27
O8160,2024-05-05,C1178,P2073,L108,SH10,3,2413.5,0.18,1069.62
O9623,2025-03-14,C1131,P2037,L113,SH7,6,61028.07,0.31,5274.75
O11281,2024-05-30,C1272,P2008,L117,SH7,5,61333.68,0.0,23097.38
O5558,2024-10-13,C1252,P2024,L117,SH1,1,21875.09,0.04,7657.02
O11239,2025-03-24,C1163,P2016,L113,SH16,6,267824.21,0.1,93914.01
O5165,2025-09-16,C1280,P2046,L109,SH13,5,51946.21,0.17,7592.48
O9068,2024-06-20,C1398,P2025,L114,SH25,6,₹82085.67,0.04,28593.12
O8263,2025-11-04,C1074,P2039,L106,SH19,1,18057.31,0.18,1432.77
O5639,2024-09-09,C1288,P2079,L117,SH16,3,3816.92,0.16,1157.49
O8845,2024-04-09,C1413,P2059,L114,SH21,1,15101.1,0.13,1142.71
O6605,06/01/2024,C1019,P2042,L114,SH22,4,24199.83,0.17,1907.68
O5713,2025-08-10,C1483,P2091,L110,SH25,3,3891.8,0.15,1028.4
O5599,2025-10-15,C1063,P2033,L116,SH4,6,86033.58,0.18,23408.48
O11656,2025-09-07,C1055,P2025,L107,SH13,4,117915.41,0.16,46815.44
O11851,2025-12-11,C1084,P2093,L103,SH4,6,14001.0,0.05,5080.64
O8612,2024-12-04,C1065,P2040,L104,SH13,5,36306.38,0.2,5257.41
O10769,2024-01-24,C1394,P2017,L108,SH15,6,134766.36,0.16,30935.59
O11657,2025-12-09,C1429,P2079,L116,SH16,2,6950.6,0.12,2812.49
O10057,2024-12-09,C1341,P2011,L117,SH25,2,31869.95,0.0,7596.17
O9494,2024-11-08,C1277,P2036,L115,SH19,2,18686.37,0.08,1616.78
O11759,2025-02-11,C1165,P2093,L114,SH4,1,575.31,0.11,239.14
O5170,2024-04-21,C1357,P2035,L105,SH7,1,11774.54,0.25,1328.34
O7355,2025-05-23,C1359,P2008,L113,SH4,1,13275.92,0.06,3730.76
O8401,2024-11-22,C1215,P2042,L112,SH10,3,41682.17,0.25,5068.32
O11085,19/04/2024,C1229,P2009,L112,SH13,5,158867.04,0.09,34140.94
O9883,2025-08-24,C1456,P2006,L111,SH7,-6,68826.1,0.12,16516.93
O9991,2025-12-21,C1057,P2024,L111,SH19,6,224373.89,0.04,72804.8
O11988,2025-04-01,C1378,P2014,L111,SH4,2,33147.22,0.19,12858.83
O9721,2024-03-24,C1380,P2011,L114,SH10,1,10662.5,0.07,2379.43
O7031,2024-04-20,C1367,P2001,L117,SH19,3,73062.66,,27995.33
O5021,16/03/2024,C1347,P2070,L106,SH19,3,5763.74,0.21,1839.28
O5494,2025-10-11,C1408,P2070,L110,SH22,6,₹5292.48,0.17,2040.03
O10790,2025-08-28,C1069,P2042,L107,SH4,3,17301.44,0.08,1997.22
O11720,2025-01-21,C1036,P2095,L113,SH7,5,18177.26,0.01,5517.86
O5523,2024-06-23,C1311,P2061,L116,SH1,5,24128.99,0.21,2339.76
O9646,2024-09-05,C1324,P2019,L111,SH1,1,9123.16,0.15,3524.13
O5167,2024-10-21,C1246,P2045,L109,SH10,4,11997.93,0.2,1450.5
O9290,2024-04-01,C1497,P2079,L110,SH16,1,1129.3,0.1,424.63
O6824,2024-10-05,C1079,P2010,L111,SH10,1,₹38700.23,0.26,8057.17
O8329,2024-01-03,C1360,P2098,L113,SH1,6,11557.24,0.07,
O6040,2025-05-10,C1284,P2053,L103,SH8,3,3688.86,0.18,431.67
O9363,2025-12-06,C1059,P2080,L110,SH4,2,4195.64,0.27,1263.67
O8552,2025-12-03,C1427,P2062,L107,SH13,1,5863.3,0.21,771.09
O8236,2025-08-14,C1206,P2098,L106,SH4,4,16107.08,0.14,6204.98
O8190,2024-01-14,C1090,P2077,L101,SH10,2,5287.48,0.17,2014.66
O9490,2024-06-08,C1450,P2098,L102,SH13,-2,₹1943.76,0.1,819.65
O10224,2025-11-24,C1212,P2080,L110,SH25,4,8042.19,0.09,2726.8
O10586,2025-06-20,C1324,P2050,L106,SH7,2,24221.45,0.18,2151.26
O10019,2024-08-09,C1348,P2043,L110,SH22,-5,53806.49,0.22,5033.92
O10515,2025-08-05,C1328,P2002,L111,SH25,4,179287.91,0.08,47101.93
O11651,2025-07-16,C1130,P2059,L106,SH16,3,31736.94,0.14,4488.71
O8028,2025-08-04,C1297,P2012,L113,SH1,2,71032.49,0.15,23124.99
O5654,2024-01-31,C1321,P2033,L113,SH7,2,84258.33,0.19,32845.86
O5192,18/12/2024,C1038,P2006,L114,SH1,1,29617.65,0.24,9129.13
O7075,2025-01-18,C1094,P2083,L116,SH10,5,6578.64,0.14,2281.92
O10800,2025-02-21,C1499,P2041,L110,SH19,6,15762.63,0.05,1541.14
O5794,17/07/2024,C1107,P2036,L102,SH16,4,11850.16,0.16,
O6848,2025-07-15,C1423,P2006,L108,SH3,4,37213.9,0.05,14831.06
O7203,2025-07-14,C1398,P2025,L116,SH22,6,71710.51,0.16,20505.24
O9027,30/03/2025,C1455,P2021,L114,SH22,6,89078.03,0.21,19958.83
O5501,2025-09-23,C1249,P2058,L111,SH1,5,63680.47,0.24,7795.2
O5440,2025-08-05,C1214,P2076,L116,SH10,3,₹9611.26,0.09,2751.24
O5141,2025-09-24,C1334,P2027,L114,SH19,5,₹158802.83,0.11,47578.54
O11934,2024-10-24,C1321,P2086,L113,SH22,2,3392.65,0.0,1191.68
O6323,2025-01-21,C1061,P2090,L105,SH10,3,9958.54,0.12,3876.11
O5780,2025-04-14,C1414,P2084,L117,SH19,2,8976.38,0.05,3806.35
O6330,09/03/2025,C1157,P2091,L108,SH4,5,19675.62,0.16,5988.58
O9521,2024-08-02,C1047,P2094,L106,SH4,4,13943.54,0.09,6045.82
O5397,2024-02-20,C1146,P2004,L113,SH1,2,₹16753.5,0.18,5268.16
O10834,2024-04-19,C1337,P2052,L108,SH13,3,40275.25,0.31,
O8437,2024-03-13,C1298,P2042,L109,SH16,3,34988.1,,3501.09
O8725,2024-01-22,C1346,P2085,L105,SH7,3,8736.24,0.0,3344.36
O8276,2024-06-30,C1038,P2059,L114,SH19,5,24735.49,0.08,2251.62
O8918,2025-01-28,C1217,P2003,L104,SH19,6,148396.58,,38361.44
O6461,2024-06-26,C1472,P2039,L110,SH13,5,₹57063.93,0.21,6910.62
O11700,2024-03-22,C1037,P2004,L112,SH13,4,188156.15,,56619.35
O11310,2025-08-09,C1090,P2079,L106,SH1,2,5682.95,0.11,2550.48
O7007,2025-11-14,C1246,P2072,L110,SH22,1,4039.78,0.07,1210.74
O7450,2025-08-13,C1072,P2044,L101,SH7,5,74321.05,0.12,11027.65
O9413,2025-02-01,C1431,P2060,L115,SH22,2,5039.47,0.18,720.18
O5562,2025-04-27,C1135,P2031,L109,SH4,4,168899.79,0.2,45369.74
O5865,2025-11-14,C1023,P2009,L110,SH4,5,8915.64,0.13,1955.21
O9257,2025-10-08,C1434,P2064,L113,SH13,2,19498.93,0.18,2083.24
O7799,2025-02-21,C1456,P2024,L107,SH4,three,8639.16,0.13,2886.77
O9129,23/11/2025,C1477,P2076,L115,SH1,6,17734.69,0.11,7420.32
O11315,2024-07-10,C1333,P2065,L114,SH4,1,9808.67,0.32,1377.23
O8115,2025-05-30,C1421,P2010,L110,SH19,2,82363.03,0.12,28096.96
O11834,2025-06-21,C1496,P2065,L116,SH22,4,15554.73,0.2,1494.45
O5868,2024-04-11,C1124,P2065,L103,SH19,-2,₹36315.83,0.12,4673.56
O5626,2024-11-18,C1154,P2029,L107,SH19,3,6625.95,0.17,2414.42
O11250,2024-10-18,C1191,P2080,L101,SH4,6,9283.12,0.09,3961.25
O11162,2025-03-18,C1426,P2051,L104,SH10,6,46190.28,0.18,4759.35
O10995,2024-11-14,C1044,P2065,L113,SH25,1,7247.65,0.24,609.85
O9540,30/01/2024,C1471,P2089,L115,SH1,2,771.61,0.14,323.92
O6943,15/05/2024,C1209,P2091,L111,SH25,2,7958.78,0.16,3134.35
O9147,2024-10-21,C1496,P2084,L106,SH22,2,2602.67,0.02,771.34
O11498,2025-05-11,C1140,P2049,L104,SH10,6,33017.81,0.18,4591.58
O8777,2025-07-02,C1221,P2077,L111,SH25,3,1358.79,0.17,346.16
O9966,2025-04-29,C1011,P2043,L105,SH26,5,4656.39,0.26,354.9
O5388,2024-11-14,C1011,P2044,L110,SH19,6,34129.75,0.25,3557.88
O8248,2025-10-22,C1348,P2015,L111,SH4,1,27353.59,0.08,10195.76
O5188,2024-07-26,C1058,P2008,L117,SH10,5,160697.7,,36955.73
O11849,2025-04-15,C1473,P2068,L116,SH13,5,8973.37,0.17,3979.83
O8477,27/01/2024,C1250,P2058,L110,SH25,2,29031.36,0.22,2077.53
O8673,2025-08-04,C1190,P2054,L109,SH1,2,31145.16,0.14,2014.47
O7552,2025-05-05,C1271,P2033,L108,SH22,5,98034.96,0.01,28039.64
O7619,2025-07-29,C1045,P2065,L110,SH7,6,96201.76,0.11,11825.26
O10342,2025-05-25,C1338,P2085,L110,SH7,1,1780.05,0.21,689.6
O11912,2025-06-04,C1367,P2067,L115,SH25,1,2689.67,0.2,985.77
O7249,2025-07-05,C1028,P2067,L106,SH1,three,3764.37,0.15,1542.6
O6941,24/01/2025,C1294,P2003,L110,SH13,1,11450.02,0.06,3366.58
O5723,2024-09-01,C1237,P2052,L114,SH10,4,44943.49,0.29,4913.02
O8044,2024-04-19,C1283,P2090,L111,SH1,6,16322.5,0.07,6322.09
O8810,2024-01-17,C1329,P2014,L111,SH1,6,134369.35,0.04,45237.32
O9777,2025-05-08,C1432,P2082,L115,SH21,3,9366.02,0.0,3360.51
O10309,2025-05-31,C1498,P2079,L111,SH10,4,4633.46,0.06,1425.27
O11153,2024-12-31,C1133,P2035,L109,SH19,6,36501.71,0.32,3296.64
O9469,2024-01-13,C1015,P2093,L106,SH22,3,6209.96,0.02,1737.05
O5027,2024-11-12,C1322,P2013,L102,SH10,6,228065.25,0.13,47134.91
O10816,2025-03-09,C1151,P2093,L113,SH22,3,5843.36,0.03,2231.26
O8271,2025-02-24,C1142,P2092,L113,SH4,2,1936.78,0.12,560.73
O10656,2024-05-22,C1441,P2088,L112,SH10,5,3863.46,0.15,1306.22
O5502,2025-03-14,C1291,P2047,L111,SH1,6,22843.44,0.22,2014.55
O10492,2025-07-29,C1478,P2054,L110,SH18,6,₹137348.95,0.07,17323.61
O8608,2025-06-08,C1113,P2082,L101,SH10,5,7603.3,0.1,2629.09
O9155,2024-09-10,C1272,P2001,L111,SH13,2,93319.37,,26319.74
O9204,2024-05-26,C1006,P2006,L107,SH9,6,191047.07,0.06,38816.91
O5086,2024-09-15,C1348,P2050,L110,SH19,2,32599.55,0.11,3882.31
O8242,2024-04-25,C1352,P2082,L101,SH19,4,6182.45,,2504.0
O10268,2025-05-14,C1069,P2076,L117,SH10,6,28994.74,0.03,9962.71
O7293,2024-05-06,C1040,P2040,L103,SH25,3,56435.87,0.14,6633.24
O8979,2024-02-23,C1238,P2096,L108,SH1,2,6825.47,0.2,2710.4
O11067,2024-04-13,C1442,P2033,L106,SH4,1,₹37301.74,0.01,9769.46
O10977,2025-01-24,C1434,P2024,L108,SH7,2,31819.43,0.22,8207.53
O7474,2025-03-12,C1347,P2046,L115,SH10,1,12475.73,0.3,1417.92
O9880,2024-07-12,C1264,P2008,L101,SH22,2,13097.45,0.16,3802.68
O5299,2025-10-05,C1180,P2093,L107,SH22,6,20977.52,0.09,9103.8
O8753,21/04/2024,C1064,P2099,L115,SH10,4,14949.73,0.17,6071.71
O9686,2025-08-31,C1122,P2022,L104,SH22,4,97834.3,0.15,34389.95
O6098,2024-07-26,C1019,P2027,L108,SH4,3,60105.9,0.22,14838.76
O6471,24/02/2024,C1380,P2075,L117,SH19,6,19587.07,0.1,6919.19
O10952,2024-10-15,C1002,P2091,L116,SH16,3,₹8863.64,0.14,2430.53
O7763,2025-04-30,C1208,P2005,L117,SH16,4,52142.56,0.0,12148.94
O9302,2024-06-23,C1019,P2036,L101,SH13,1,18719.35,0.19,1574.76
O9165,2025-05-14,C1022,P2023,L117,SH4,1,₹17293.55,0.05,5827.15
O8962,2024-06-08,C1274,P2055,L106,SH4,2,4604.58,0.05,298.98
O7516,2025-08-23,C1038,P2028,L104,SH4,3,142384.88,0.04,56789.39
O6998,2025-08-18,C1179,P2090,L103,SH1,4,17822.3,0.0,6270.42
O6730,2024-06-28,C1087,P2068,L116,SH22,1,2390.02,0.09,779.08
O7325,2025-08-09,C1402,P2071,L113,SH4,2,4194.72,0.02,1390.07
O7570,03/09/2024,C1008,P2083,L111,SH25,-4,13443.15,0.0,3692.38
O8836,2025-03-06,C1186,P2034,L112,SH10,3,40333.09,0.13,2934.6
O11306,2024-09-16,C1141,P2092,L113,SH10,4,16654.37,0.08,
O11655,2025-04-15,C1274,P2064,L116,SH10,1,575.29,0.29,71.77
O10398,2025-07-23,C1291,P2056,L117,SH19,1,₹9128.08,0.14,708.08
O8047,2024-03-28,C1210,P2004,L102,SH1,4,31345.6,0.06,7788.15
O6377,2024-12-25,C1439,P2061,L104,SH13,6,108973.39,0.25,15502.84
O9297,2024-03-12,C1261,P2033,L117,SH1,4,81621.21,0.23,30986.4
O8441,2024-06-20,C1262,P2078,L113,SH22,3,4820.06,0.29,1735.15
O6399,2024-12-22,C1247,P2026,L103,SH10,6,181947.02,0.23,60112.55
O5416,2025-05-16,C1390,P2022,L106,SH4,5,206666.72,0.05,73563.12
O5450,2024-04-03,C1019,P2072,L101,SH19,3,11399.01,0.06,5045.59
O8246,2025-04-22,C1401,P2089,L103,SH13,5,14747.42,0.21,4016.15
O7282,2025-08-24,C1100,P2068,L109,SH13,6,9986.43,0.1,3912.44
O10714,2024-12-29,C1499,P2076,L105,SH16,6,18042.65,0.11,6640.02
O5186,04/07/2025,C1213,P2090,L116,SH7,6,23062.96,0.06,9573.91
O6576,2025-03-20,C1384,P2028,L101,SH1,6,26002.24,0.15,8100.93
O11495,2025-03-20,C1366,P2074,L101,SH22,6,19302.36,,8284.75
O8720,2025-02-27,C1125,P2091,L117,SH13,6,29584.65,0.0,9688.02
O11126,2024-09-03,C1309,P2003,L110,SH13,1,6957.27,0.05,
O6403,2025-09-13,C1418,P2041,L104,SH13,3,21146.39,0.3,1648.89
O8757,2024-09-25,C1003,P2092,L106,SH1,5,7056.04,0.14,2757.51
O10339,2025-11-20,C1190,P2005,L103,SH19,4,120486.1,0.19,46635.03
O11183,2024-09-08,C1157,P2087,L117,SH19,6,20826.75,0.03,5804.76
O9301,2024-03-16,C1271,P2014,L104,SH13,1,23152.45,,7287.16
O8817,2025-01-17,C1178,P2077,L103,SH13,3,₹12983.62,0.01,3392.57
